run,step,epoch_accuracy,epoch_loss
"adam,run_3/train",11,0.9956833124160767,0.012950860895216465
"adam,run_3/train",12,0.9961833357810974,0.011513452976942062
"adam,run_3/train",13,0.9966833591461182,0.010540904477238655
"adam,run_3/train",14,0.9969499707221985,0.009878220967948437
"adam,run_3/train",15,0.996916651725769,0.009156621061265469
"adam,run_3/train",16,0.9968000054359436,0.00982519518584013
"adam,run_3/train",17,0.9968166947364807,0.00946552213281393
"adam,run_3/train",18,0.9971666932106018,0.008803794160485268
"adam,run_3/train",19,0.9970666766166687,0.008953902870416641
"adam,run_3/validation",0,0.9850999712944031,0.0484793595969677
"adam,run_3/validation",1,0.9857000112533569,0.04299511760473251
"adam,run_3/validation",2,0.9907000064849854,0.030650069937109947
"adam,run_3/validation",3,0.9907000064849854,0.029915865510702133
